Recover_date,Station,Pot_position,Pot_ID,Near_Far,Species,Catch,Notes,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,15.0,36.0,far,black sea bass,1.0,,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,15.0,36.0,far,rock crab,1.0,,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,14.0,80.0,far,rock crab,1.0,,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,13.0,30.0,far,sand dollar,1.0,,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,13.0,30.0,far,rock crab,3.0,,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,13.0,30.0,far,black sea bass,1.0,,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,12.0,29.0,far,black sea bass,3.0,,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,12.0,29.0,far,rock crab,1.0,,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,12.0,29.0,far,spider crab,1.0,,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,11.0,22.0,far,black sea bass,3.0,,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,11.0,22.0,far,rock crab,1.0,,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,10.0,37.0,far,NA,NA,,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,9.0,74.0,far,rock crab,2.0,,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,8.0,93.0,far,rock crab,1.0,,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,8.0,93.0,far,black sea bass,1.0,,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,7.0,24.0,far,rock crab,1.0,,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,6.0,42.0,near,rock crab,2.0,open vent,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,5.0,18.0,near,black sea bass,1.0,,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,4.0,43.0,near,rock crab,2.0,,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,3.0,89.0,near,rock crab,4.0,,,,,,,,,,,,,,,,,,,,,
2024-05-01 00:00:00,C2404-1,3.0,89.0,near,sand dollar,2.0,,,,,,,,,,,,,,,,,,,,,
